sample.id	date	temp	spc	oxygen	salinity	secchi	ph	orp	air.temp
32	11/22/13	8.23	0.521	4.58	0.25	1.60	8.83		8.0
33	11/29/13								
34	12/06/13	4.01	0.535	5.26	0.25	2.50	8.93		-3.0
35	12/13/13	3.87	0.548	4.50	0.26	2.40	9.50		2.0
36	12/20/13	3.61	0.547	5.23	0.26	2.20	9.13		13.0
37	12/27/13	3.59	0.330	8.42	0.15	0.20	9.60		7.0
38	01/03/14	4.55	0.390	8.44	0.18	0.50	10.05		-7.0
39	01/10/14	4.07	0.472	6.40	0.22	1.10	9.31		6.0
40	01/17/14	4.32	0.528	4.84	0.25	1.00	9.09		-8.0
41	01/24/14	3.78	0.542	4.24	0.25	1.40	9.20		-6.0
42	01/31/14	3.94	0.571	3.59	0.27	1.40	9.15		4.0
43	02/07/14	3.07	0.567	4.10	0.27	1.20	9.20		-9.0
44	02/14/14	3.53	0.580	4.03	0.27	1.00	9.23		-1.0
45	02/21/14	3.35	0.586	3.99	0.28	0.50	9.20		6.0
46	02/28/14	4.98	0.610	3.75	0.29	1.00	9.20		1.0
47	03/07/14	4.77	0.618	3.90	0.29	1.40	9.37		-2.0
48	03/14/14	5.06	0.595	4.04	0.28	1.70	9.39		13.0
49	03/21/14	6.67	0.668	3.69	0.32	1.60	9.52		19.0
50	03/28/14	8.08	0.670	4.16	0.32	2.70	10.15		11.0
51	04/04014	10.28	0.448	3.17	0.21	0.30	10.11		6.0
52	04/10/14	12.62	0.534	3.56	0.26	1.30	10.72		24.0
53	04/18/14	14.25	0.606	3.37	0.29	2.30	10.57		21.0
54	04/25/14	16.66	0.633	2.71	0.31	3.50	10.39		14.0
55	05/03/14	15.44	0.639	2.71	0.31	2.40	10.24		18.0
56	05/09/14	22.11	0.643	2.14	0.31	2.50	10.38		24.0
57	05/17/14	17.19	0.548	2.35	0.26	1.40	10.23		14.0
58	05/23/14	22.11	0.495	1.94	0.24	1.30	10.09		24.0
59	05/30/14	26.31	0.539	1.87	0.26	2.80	10.32		29.0
60	06/05/14	25.52	0.538	2.00	0.26	2.20	10.47		25.0
61	06/13/14	25.04	0.543	1.98	0.26	3.20	10.55		
62	06/20/14	28.03	0.553	1.97	0.27	2.20	10.74		27.0
63	06/27/14	27.32	0.536	8.75	0.26	1.70	10.84		24.0
64	07/05/14	27.17	0.544	8.80	0.26	1.90	10.86		27.0
65	07/13/14	26.24	0.535	8.22	0.26	2.40	8.25		27.0
66	07/18/14	25.37	0.515	9.71	0.25	1.90	8.33	138.5	25.0
67	07/26/14	25.78	0.515	8.19	0.25	2.10	8.23	150.8	29.0
68	08/01/14	24.22	0.466	9.08	0.22	1.80	8.47	138.8	26.0
69	08/08/14	24.50	0.467	8.20	0.22	1.90	8.45	144.1	19.0
70	08/15/14	25.02	0.470	9.20	0.23	1.60	8.60		22.0
71	08/23/14	27.24	0.475	7.04	0.23	2.40	8.36		30.0
72	08/29/14	28.61	0.472	7.45	0.22	2.30	8.48	110.0	31.0
73	09/06/14	25.62	0.410	9.64	0.20	1.20	8.87	102.5	20.0
74	09/12/14	22.13	0.430	6.17	0.20	1.30	8.01	103.6	17.0
75	09/19/14	20.80	0.442	8.05	0.21	1.00	9.40	109.1	23.0
76	09/26/14	19.23	0.448	8.26	0.22	1.00	8.48	109.5	27.0
77	10/04/14	17.94	0.454	6.24	0.22	1.00	8.07	131.3	9.0
78	10/11/14	15.48	0.477	5.56	0.23	0.90	7.70	140.8	14.0
79	10/17/14	15.49	0.448	6.74	0.22	0.80	7.81	149.8	20.0
80	10/25/14	13.42	0.494	13.25	0.24	1.00	7.13	180.6	16.0
81	10/31/14	12.69	0.494	11.30	0.24	0.80	7.02	177.7	3.9
82	11/07/14	10.36	0.517	10.05	0.25	0.80	6.89	161.1	2.2
83	11/14/14	8.03	0.545	11.55	0.27	1.10	7.29	-41.8	-1.0
84	11/21/14	4.55	0.577	11.53	0.28	1.30	7.28	-17.6	2.0
85	11/29/14	4.08	0.552	15.37	0.27	0.80	7.36	-20.8	6.1
86	12/06/14	6.43	0.341	17.5	0.16	0.40	7.47	-19.5	5
87	12/13/14	4.16	0.466	20.51	0.22	0.80	7.91	-16.7	8
88	12/20/14	3.98	0.51	22.24	0.25	1.00	7.87	17.8	1
89	12/26/14	4.49	0.519	18.78	0.25	1.20	7.26	10.7	13
90	01/03/15	3.66	0.387	20.25	0.19	0.30	7.40	5.2	10
91	01/09/15	2.21	0.479	21.2	0.23	0.60	7.14	8.2	-11.6
92	01/16/15	4.58	0.53	10.03	0.26	1.6	7.26	11	8
93	01/24/15	4.74	0.528	15.44	0.25	1.9	7.56	17	2
94	01/30/15	4.89	0.523	17.88	0.25	1.6	7.47	9.1	2
95	02/06/25	4.03	0.532	19.56	0.26	1.6	7.38	9.4	-4
96	02/14/15	4.36	0.543	19.04	0.26	1.5	7.39	8.8	-2
97	02/21/15	4.11	0.559	18.43	0.27	1	7.39	18	0
98	02/28/15	4.38	0.574	19.05	0.28	1.3	7.56	6.4	-2
99	03/07/15	4.63	0.57	18.8	0.28	1.3	7.03	37.3	7
100	03/12/15	5.19	0.566	18.41	0.27	1.3	7.16	35.1	7
101	03/22/15	9.65	0.6	16.85	0.29	1.4	7.64	18.5	12
102	03/27/15	7.72	0.598	17.28	0.29	1.6	7.67	18.6	1
103	04/04/15	12.98	0.592	12.89	0.29	1.3	7.82	21.5	12
104	04/11/15	14.65	0.52	17.02	0.25	0.5	8.14	16.7	16
105	04/19/15	16.78	0.558	12.31	0.27	1.5	8.16	8.6	17
106	04/26/15	15.29	0.547	13.62	0.27	1.6	8.21	6	14
107	05/03/15	18.96	0.562	12.96	0.27	1.9	8.2	5.5	25
108	05/11/15	23.52	0.574	9.12	0.28	2.6	8.04	6.1	23
109	05/17/15	22.99	0.572	10.12	0.28	2.9	7.97	21.9	25
110	05/23/15	20.07	0.586	10.17	0.28	2.6	7.85	22.1	24
111	05/29/15	23.15	0.585	7.5	0.28	3	7.82	14.2	18
112	06/06/15	22.52	0.581	9.51	0.28	2.2	7.96	20.9	23
113	06/12/15	26.1	0.566	8.67	0.27	2	7.98	15.3	26
114	06/21/15	25.23	0.446	8.95	0.21	1	8.18	33.4	27
115	06/29/15	22.6	0.457	6.82	0.22	2.1	7.1	39.8	23
116	07/06/15	25.79	0.458	8.36	0.22	1.8	8.53	27.2	28
117	07/11/15					1.5			23.5
118	07/18/15	27.16	0.513	10.5	0.25	1	8.27	32.1	24.94
119	07/26/15	27.25	0.535	12.57	0.26	1.4	8.56	39.8	23.93
120	08/02/15	28.73	0.569	10.18	0.27	1.5	8.32	40.4	25.42
121	08/17/15	25.76	532	9.71	0.26	1.4	8.38	22.9	25.86
122	09/02/15	25.19	0.564	8.1	0.27	2.2	7.92	225.2	24.74
123	09/07/15	25.86	0.566	8.55	0.27	2.2	7.92	14.8	27.33
124	09/14/15	21.97	0.588	6.89	0.29	1.5	7.58	31.1	20.93
