rate,sample,OTU,sample.id,sample.name,sample.type,date,month,Domain,Phylum,Class,Order,Family,Genus
0.355,71,Otu00112,71,ULc071,RNA,2014-08-23,August,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
0.442,120,Otu00226,120,ULc120,RNA,2015-08-02,August,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
0.41,122,Otu00026,122,ULc122,RNA,2015-09-02,September,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
0.349,22,Otu00033,22,ULc022,RNA,2013-09-13,September,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
0.534,77,Otu00005,77,ULc077,RNA,2014-10-04,October,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
0.396,79,Otu00015,79,ULc079,RNA,2014-10-17,October,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
0.343,77,Otu00034,77,ULc077,RNA,2014-10-04,October,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
0.773,28,Otu00060,28,ULc028,RNA,2013-10-25,October,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
0.57,77,Otu00082,77,ULc077,RNA,2014-10-04,October,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
0.476,77,Otu00154,77,ULc077,RNA,2014-10-04,October,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
0.684,25,Otu00158,25,ULc025,RNA,2013-10-04,October,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
0.23,79,Otu00192,79,ULc079,RNA,2014-10-17,October,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
0.286,31,Otu00001,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
0.471,31,Otu00007,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
0.8,31,Otu00018,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
0.442,31,Otu00047,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
0.587,31,Otu00056,31,ULc031,RNA,2013-11-15,November,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia
0.585,84,Otu00077,84,ULc084,RNA,2014-11-21,November,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
0.442,31,Otu00109,31,ULc031,RNA,2013-11-15,November,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales_unclassified,Acidimicrobiales_unclassified
0.377,32,Otu00118,32,ULc032,RNA,2013-11-22,November,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
0.46,31,Otu00177,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
0.691,31,Otu00198,31,ULc031,RNA,2013-11-15,November,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
0.486,32,Otu00217,32,ULc032,RNA,2013-11-22,November,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
0.366,37,Otu00006,37,ULc037,RNA,2013-12-27,December,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified
